icon_name,url,saved_path
dog,https://files.svgcdn.io/fa6-solid/dog.svg,animals_icons/dog_7.svg
dog,https://files.svgcdn.io/fa-solid/dog.svg,animals_icons/dog_8.svg
dog-zodiac,https://files.svgcdn.io/icon-park/dog-zodiac.svg,animals_icons/dog-zodiac.svg
dog-zodiac,https://files.svgcdn.io/icon-park-outline/dog-zodiac.svg,animals_icons/dog-zodiac_2.svg
dolphin,https://files.svgcdn.io/icon-park/dolphin.svg,animals_icons/dolphin.svg
dolphin,https://files.svgcdn.io/icon-park-twotone/dolphin.svg,animals_icons/dolphin_2.svg
dolphin,https://files.svgcdn.io/icon-park-solid/dolphin.svg,animals_icons/dolphin_3.svg
dolphin,https://files.svgcdn.io/icon-park-outline/dolphin.svg,animals_icons/dolphin_4.svg
dove,https://files.svgcdn.io/fa7-solid/dove.svg,animals_icons/dove.svg
dove,https://files.svgcdn.io/fa6-solid/dove.svg,animals_icons/dove_2.svg
dove,https://files.svgcdn.io/fa-solid/dove.svg,animals_icons/dove_3.svg
dragon,https://files.svgcdn.io/fa7-solid/dragon.svg,animals_icons/dragon.svg
dragon,https://files.svgcdn.io/fa6-solid/dragon.svg,animals_icons/dragon_2.svg
dragon,https://files.svgcdn.io/fa-solid/dragon.svg,animals_icons/dragon_3.svg
dragon-zodiac,https://files.svgcdn.io/icon-park/dragon-zodiac.svg,animals_icons/dragon-zodiac.svg
dragon-zodiac,https://files.svgcdn.io/icon-park-outline/dragon-zodiac.svg,animals_icons/dragon-zodiac_2.svg
duck,https://files.svgcdn.io/icon-park/duck.svg,animals_icons/duck.svg
duck,https://files.svgcdn.io/icon-park-twotone/duck.svg,animals_icons/duck_2.svg
duck,https://files.svgcdn.io/icon-park-solid/duck.svg,animals_icons/duck_3.svg
duck,https://files.svgcdn.io/icon-park-outline/duck.svg,animals_icons/duck_4.svg
eagle,https://files.svgcdn.io/icon-park/eagle.svg,animals_icons/eagle.svg
eagle,https://files.svgcdn.io/icon-park-twotone/eagle.svg,animals_icons/eagle_2.svg
eagle,https://files.svgcdn.io/icon-park-solid/eagle.svg,animals_icons/eagle_3.svg
eagle,https://files.svgcdn.io/icon-park-outline/eagle.svg,animals_icons/eagle_4.svg
elephant,https://files.svgcdn.io/icon-park/elephant.svg,animals_icons/elephant.svg
elephant,https://files.svgcdn.io/icon-park-outline/elephant.svg,animals_icons/elephant_2.svg
